Speaker		Gender	#Lines	Play	TopVillain	Fools
Gaoler		Male	118	The Two Noble Kinsmen		
Schoolmaster		Male	107	The Two Noble Kinsmen		
Wooer		Male	105	The Two Noble Kinsmen		
Hippolyta		Female	102	The Two Noble Kinsmen		
Doctor		Male	88	The Two Noble Kinsmen		
First Queen		Female	63	The Two Noble Kinsmen		
Speaker		Male	52	The Two Noble Kinsmen		
Messenger		Male	49	The Two Noble Kinsmen		
Second Queen		Female	39	The Two Noble Kinsmen		
Third Queen		Female	37	The Two Noble Kinsmen		
Second Countryman		Male	31	The Two Noble Kinsmen		
First Friend		Male	27	The Two Noble Kinsmen		
Third Countryman		Male	25	The Two Noble Kinsmen		
Boy		Male	24	The Two Noble Kinsmen		
Second Friend		Male	22	The Two Noble Kinsmen		
Fourth Countryman		Male	18	The Two Noble Kinsmen		
First Countryman		Male	15	The Two Noble Kinsmen		
Woman		Female	14	The Two Noble Kinsmen		
Servant		Male	13	The Two Noble Kinsmen		
Valerius		Male	12	The Two Noble Kinsmen		
Brother		Male	11	The Two Noble Kinsmen		
Herald		Male	9	The Two Noble Kinsmen		
First Knight		Male	7	The Two Noble Kinsmen		
Second Knight		Male	5	The Two Noble Kinsmen		
Gentleman		Male	4	The Two Noble Kinsmen		
All Queens		Female	3	The Two Noble Kinsmen		
Palamon And Arcite		Male	2	The Two Noble Kinsmen		
Nell		Female	1	The Two Noble Kinsmen		
Third Knight		Male	1	The Two Noble Kinsmen		
Taborer		Male	1	The Two Noble Kinsmen		
All The Others		Male	1	The Two Noble Kinsmen		
All Three Knights		Male	1	The Two Noble Kinsmen		
Bavian		Male	1	The Two Noble Kinsmen		
Leontes		Male	686	The Winter's Tale		
Paulina		Female	332	The Winter's Tale		
Camillo		Male	298	The Winter's Tale		
Autolycus		Male	291	The Winter's Tale		fool
Polixenes		Male	272	The Winter's Tale		
Hermione		Female	211	The Winter's Tale		
Florizel		Male	205	The Winter's Tale		
Clown		Male	183	The Winter's Tale		
Shepherd		Male	137	The Winter's Tale		
Perdita		Female	126	The Winter's Tale		
Antigonus		Male	111	The Winter's Tale		
Third Gentleman		Male	63	The Winter's Tale		
Lord		Male	60	The Winter's Tale		
Shepherd'S Servant		Male	35	The Winter's Tale		
Time		Male	32	The Winter's Tale		
First Gentleman		Male	28	The Winter's Tale		
Dion		Male	27	The Winter's Tale		
Officer		Male	25	The Winter's Tale		
Cleomenes		Male	23	The Winter's Tale		
Mamillius		Male	22	The Winter's Tale		
Mopsa		Female	21	The Winter's Tale		
Archidamus		Male	21	The Winter's Tale		
Emilia		Female	20	The Winter's Tale		
Gentleman		Male	18	The Winter's Tale		
Second Gentleman		Male	16	The Winter's Tale		
Servant		Male	15	The Winter's Tale		
Gaoler		Male	13	The Winter's Tale		
Dorcas		Female	13	The Winter's Tale		
Mariner		Male	11	The Winter's Tale		
First Lady		Female	9	The Winter's Tale		
Second Lady		Female	4	The Winter's Tale		
Lords		Male	3	The Winter's Tale		
Cleomenes And Dion		Male	1	The Winter's Tale		
Timon		Male	850	Timon of Athens		
Apemantus		Male	249	Timon of Athens		
Flavius		Male	205	Timon of Athens		
Alcibiades		Male	159	Timon of Athens		
Poet		Male	104	Timon of Athens		
First Senator		Male	89	Timon of Athens		
Lucius		Male	66	Timon of Athens		
Painter		Male	65	Timon of Athens		
Second Senator		Male	61	Timon of Athens		
Lucullus		Male	59	Timon of Athens		
Sempronius		Male	36	Timon of Athens		
Senator		Male	35	Timon of Athens		
Lucius'S Servant		Male	32	Timon of Athens		
First Stranger		Male	31	Timon of Athens		
Flaminius		Male	29	Timon of Athens		
Old Athenian		Male	29	Timon of Athens		
Servant		Male	27	Timon of Athens		
Fool		Male	22	Timon of Athens		fool
First Lord		Male	21	Timon of Athens		
Caphis		Male	20	Timon of Athens		
Messenger		Male	20	Timon of Athens		
Servilius		Male	18	Timon of Athens		
Second Lord		Male	17	Timon of Athens		
Titus		Male	15	Timon of Athens		
Soldier		Male	15	Timon of Athens		
Jeweller		Male	12	Timon of Athens		
Hortensius		Male	11	Timon of Athens		
Merchant		Male	11	Timon of Athens		
First Bandit		Male	11	Timon of Athens		
Second Servant		Male	11	Timon of Athens		
Varro'S Servant		Male	11	Timon of Athens		
Ventidius		Male	11	Timon of Athens		
Third Servant		Male	10	Timon of Athens		
All The Servants		Male	8	Timon of Athens		
First Varro'S Servant		Male	8	Timon of Athens		
First Servant		Male	8	Timon of Athens		
Isidore'S Servant		Male	8	Timon of Athens		
Page		Male	7	Timon of Athens		
Third Bandit		Male	7	Timon of Athens		
Poet And Painter		Male	7	Timon of Athens		
Second Stranger		Male	7	Timon of Athens		
Second Varro'S Servant		Male	6	Timon of Athens		
Second Bandit		Male	6	Timon of Athens		
Philotus		Male	6	Timon of Athens		
Cupid		Male	6	Timon of Athens		
Lucilius		Male	5	Timon of Athens		
Phrynia And Timandra		Female	4	Timon of Athens		
Third Lord		Male	4	Timon of Athens		
Third Senator		Male	4	Timon of Athens		
Timandra		Female	4	Timon of Athens		
All The Bandits		Male	3	Timon of Athens		
All The Ladies		Female	1	Timon of Athens		
All The Lords		Male	1	Timon of Athens		
All		Male	1	Timon of Athens		
Phrynia		Female	1	Timon of Athens		
Others		Male	1	Timon of Athens		
Lucullus And Lucius		Male	1	Timon of Athens		
First Lady		Female	1	Timon of Athens		
Both Senators		Male	1	Timon of Athens		
Both Varro'S Servants		Male	1	Timon of Athens		
Fourth Senator		Male	1	Timon of Athens		
Third Stranger		Male	1	Timon of Athens		
Some		Male	1	Timon of Athens		
Servants		Male	1	Timon of Athens		
Titus		Male	711	Titus Andronicus		
Aaron		Male	357	Titus Andronicus	yes	
Marcus		Male	329	Titus Andronicus		
Tamora		Female	257	Titus Andronicus	yes	
Saturninus		Male	210	Titus Andronicus		
Lucius		Male	179	Titus Andronicus		
Demetrius		Male	94	Titus Andronicus		
Bassianus		Male	63	Titus Andronicus		
Lavinia		Female	59	Titus Andronicus		
Chiron		Male	53	Titus Andronicus		
Young Lucius		Male	44	Titus Andronicus		
Martius		Male	32	Titus Andronicus		
Quintus		Male	25	Titus Andronicus		
Clown		Male	23	Titus Andronicus		
Second Goth		Male	20	Titus Andronicus		
Nurse		Female	19	Titus Andronicus		
Aemilius		Male	18	Titus Andronicus		
Publius		Male	14	Titus Andronicus		
First Goth		Male	8	Titus Andronicus		
Messenger		Male	7	Titus Andronicus		
Captain		Male	6	Titus Andronicus		
A Goth		Male	5	Titus Andronicus		
Mutius		Male	4	Titus Andronicus		
Tribunes		Male	3	Titus Andronicus		
A Roman		Male	3	Titus Andronicus		
All		Male	2	Titus Andronicus		
Romans		Male	2	Titus Andronicus		
Martius And Quintus		Male	1	Titus Andronicus		
All The Goths		Male	1	Titus Andronicus		
Troilus		Male	537	Troilus and Cressida		
Ulysses		Male	485	Troilus and Cressida		
Pandarus		Male	414	Troilus and Cressida		
Cressida		Female	301	Troilus and Cressida		
Thersites		Male	283	Troilus and Cressida		fool
Hector		Male	213	Troilus and Cressida		
Agamemnon		Male	195	Troilus and Cressida		
Achilles		Male	191	Troilus and Cressida		
Nestor		Male	157	Troilus and Cressida		
Aeneas		Male	143	Troilus and Cressida		
Diomedes		Male	104	Troilus and Cressida		
Paris		Male	97	Troilus and Cressida		
Ajax		Male	86	Troilus and Cressida		
Patroclus		Male	69	Troilus and Cressida		
Cassandra		Female	37	Troilus and Cressida		
Alexander		Male	34	Troilus and Cressida		
Calchas		Male	31	Troilus and Cressida		
Prologue		Male	31	Troilus and Cressida		
Helen		Female	28	Troilus and Cressida		
Priam		Male	20	Troilus and Cressida		
Servant		Male	20	Troilus and Cressida		
Andromache		Female	15	Troilus and Cressida		
Menelaus		Male	13	Troilus and Cressida		
Helenus		Female	4	Troilus and Cressida		
Margarelon		Male	3	Troilus and Cressida		
Deiphobus		Male	2	Troilus and Cressida		
Boy		Male	2	Troilus and Cressida		
All		Male	2	Troilus and Cressida		
Soldiers		Male	2	Troilus and Cressida		
Man		Male	1	Troilus and Cressida		
Myrmidons		Male	1	Troilus and Cressida		
Sir Toby		Male	343	Twelfth Night		
Viola		Female	335	Twelfth Night		
Olivia		Female	314	Twelfth Night		
Feste		Male	306	Twelfth Night		fool
Malvolio		Male	281	Twelfth Night		
Orsino		Male	220	Twelfth Night		
Sir Andrew		Male	162	Twelfth Night		
Maria		Female	149	Twelfth Night		
Sebastian		Male	124	Twelfth Night		
Fabian		Male	113	Twelfth Night		
Antonio		Male	106	Twelfth Night		
Captain		Male	32	Twelfth Night		
Valentine		Male	14	Twelfth Night		
First Officer		Male	12	Twelfth Night		
Priest		Male	8	Twelfth Night		
Curio		Male	7	Twelfth Night		
Second Officer		Male	4	Twelfth Night		
Servant		Male	3	Twelfth Night		
